text,text_name,line,word,ref,frag,norm,unicode_original,unicode_word,unicode,lemma_id,cf,pos,mask,sense,inst,reading,break_perc,unicode_splitted,break
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",20,4,IBYCk77G31DYcUzhtVGuaHmFCkg,n,n,𓈖,𓈖,['𓈖'],79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,['𓈖'],['complete']
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",20,5,IBYCk0ZBKPenykO7iEBgPFV9H3A,s,s,𓊃𓐰𓀀𓐱𓏤,𓊃𓀀𓏤,"['𓊃', '𓀀', '𓏤']",125010,z,NOUN,,Mann; Person; Wesen,,,0.0,"['𓊃', '𓀀', '𓏤']","['complete', 'complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",20,6,IBYCk2FiWDPFTkdDgAWeX2GPTRA,n.tꞽ,n.tꞽ,𓈖𓐰𓏏𓐱𓏭,𓈖𓏏𓏭,"['𓈖', '𓏏', '𓏭']",89850,n.tꞽ,PRON,,der welcher (Relativpronomen),,,0.0,"['𓈖', '𓏏', '𓏭']","['complete', 'complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",20,7,IBYCk6KrA4vWi0r9vW4iMd8bzVs,n,n,𓂜,𓂜,['𓂜'],850806,n,PART,,[Negationspartikel],,,0.0,['𓂜'],['complete']
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",20,8,IBYCk7WYJD4LQUeroKuGE84khMI,skm,skm,𓋴𓆎𓅓𓁸𓐰𓏛,𓋴𓆎𓅓𓁸𓏛,"['𓋴', '𓆎', '𓅓', '𓁸', '𓏛']",146780,skm,VERB,,"alt werden; weise werden (""vollendet sein"")",,,0.0,"['𓋴', '𓆎', '𓅓', '𓁸', '𓏛']","['complete', 'complete', 'complete', 'complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",20,9,IBYCkzWGg4WsWEjPpmmdVxlQz4Y,⸗f,⸗f,𓆑,𓆑,['𓆑'],10050,⸗f,PRON,,[Suffix Pron. sg.3.m.],,,0.0,['𓆑'],['complete']
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",21,2,IBYCk5cMTrQChkOnmlyInNwvuwM,k.t,k.t,𓎢𓐰𓏏,𓎢𓏏,"['𓎢', '𓏏']",163760,ky,ADJ,,anderer,,,0.0,"['𓎢', '𓏏']","['complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",22,2,IBYCk9E43Hb7hU7Bpji5HspkMxE,ḥfrn.w.PL,ḥfrn.w.PL,𓎛𓆑𓂋𓐰𓈖𓏌𓏲𓆙𓐰𓏥,𓎛𓆑𓂋𓈖𓏌𓏲𓆙𓏥,"['𓎛', '𓆑', '𓂋', '𓈖', '𓏌', '𓏲', '𓆙', '𓏥']",104430,ḥfn,NOUN,,Kaulquappe,,,0.0,"['𓎛', '𓆑', '𓂋', '𓈖', '𓏌', '𓏲', '𓆙', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",22,3,IBYCk6x9QSBr10VWorBjxr5cWyE,n.w,n.w,𓏌𓏤,𓏌𓏤,"['𓏌', '𓏤']",79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,"['𓏌', '𓏤']","['complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",22,4,IBYCk78qDHQuy0dnr2a5MnreYI0,šd.yt,šd.yt,𓄞𓐰𓂧𓇋𓇋𓏏𓐰𓈇𓏤,𓄞𓂧𓇋𓇋𓏏𓈇𓏤,"['𓄞', '𓂧', '𓇋', '𓇋', '𓏏', '𓈇', '𓏤']",158820,šd.yt,NOUN,,geflutetes Ackerland (mit Wasserflächen),,,0.0,"['𓄞', '𓂧', '𓇋', '𓇋', '𓏏', '𓈇', '𓏤']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
