id,group,addressee
b03_h034,Hymns to Indra,Indra
b03_h035,Hymns to Indra,Indra
b03_h036,Hymns to Indra,Indra
b03_h037,Hymns to Indra,Indra
b03_h038,Hymns to Indra,Indra
b03_h039,Hymns to Indra,Indra
b03_h040,Hymns to Indra,Indra
b03_h041,Hymns to Indra,Indra
b03_h042,Hymns to Indra,Indra
b03_h043,Hymns to Indra,Indra
b03_h044,Hymns to Indra,Indra
b03_h045,Hymns to Indra,Indra
b03_h046,Hymns to Indra,Indra
b03_h047,Hymns to Indra,Indra
b03_h048,Hymns to Indra,Indra
b03_h049,Hymns to Indra,Indra
b03_h050,Hymns to Indra,Indra
b03_h051,Hymns to Indra,Indra
b03_h052,Hymns to Indra,Indra
b03_h053,Hymns to Indra,Indra
b03_h054,Hymns to the Visvedevas,All the Gods
b03_h055,Hymns to the Visvedevas,All the Gods
b03_h056,Hymns to the Visvedevas,All the Gods
b03_h057,Hymns to the Visvedevas,All the Gods
b03_h058,Hymns to Various Gods,Asvins
b03_h059,Hymns to Various Gods,Mitra
b03_h060,Hymns to Various Gods,The Ribhus and Indra
b03_h061,Hymns to Various Gods,Usas
b03_h062,Hymns to Various Gods,Diverse Gods
b04_h001,Hymns to Agni,Agni
b04_h002,Hymns to Agni,Agni
b04_h003,Hymns to Agni,Agni
b04_h004,Hymns to Agni,Agni Killer of Demons
b04_h005,Hymns to Agni,Agni Vaisvanara
b04_h006,Hymns to Agni,Agni
b04_h007,Hymns to Agni,Agni
b04_h008,Hymns to Agni,Agni
b04_h009,Hymns to Agni,Agni
b04_h010,Hymns to Agni,Agni
b04_h011,Hymns to Agni,Agni
b04_h012,Hymns to Agni,Agni
b04_h013,Hymns to Agni,Agni
b04_h014,Hymns to Agni,Indra
b04_h015,Hymns to Agni,Agni
b04_h016,Hymns to Indra,Indra
b04_h017,Hymns to Indra,Indra
b04_h018,Hymns to Indra,"Dialogue Between Indra, Aditi and Vamadeva"
b04_h019,Hymns to Indra,Indra
b04_h020,Hymns to Indra,Indra
b04_h021,Hymns to Indra,Indra
b04_h022,Hymns to Indra,Indra
b04_h023,Hymns to Indra,Indra
b04_h024,Hymns to Indra,Indra
b04_h025,Hymns to Indra,Indra
b04_h026,Hymns to Indra,Indra
b04_h027,Hymns to Indra,Soma and the Eagle
b04_h028,Hymns to Indra,Indra and Soma
b04_h029,Hymns to Indra,Indra
b04_h030,Hymns to Indra,Indra
b04_h031,Hymns to Indra,Indra
b04_h032,Hymns to Indra,Indra
b04_h033,Hymns to the Ribhus,The Ribhus
b04_h034,Hymns to the Ribhus,The Ribhus
b04_h035,Hymns to the Ribhus,The Ribhus
b04_h036,Hymns to the Ribhus,The Ribhus
b04_h037,Hymns to the Ribhus,The Ribhus
b04_h038,Hymns to Dadhikra,Dadhikra
b04_h039,Hymns to Dadhikra,Dadhikra
b04_h040,Hymns to Dadhikra,Dadhikra
b04_h041,Hymns to Indra and Varanda,Indra and Varuna
b04_h042,Hymns to Indra and Varanda,Indra and Varuna
b04_h043,Hymns to the Asvins,Asvins
b04_h044,Hymns to the Asvins,Asvins
b04_h045,Hymns to the Asvins,Asvins
b04_h046,Hymns to Vayu and Indra,Vayu or Indra and Vayu
b04_h047,Hymns to Vayu and Indra,Vayu or Indra and Vayu
b04_h048,Hymns to Vayu and Indra,Vayu
