id,label,strata
b01_h100_04_strata_c,M,C
b01_h100_04_strata_d,MR,C
b01_h100_05_strata_a,M,C
b01_h100_05_strata_b,M,C
b01_h100_05_strata_c,M,C
b01_h100_05_strata_d,MR,C
b01_h100_06_strata_a,M,C
b01_h100_06_strata_b,Mh,C
b01_h100_06_strata_c,M,C
b01_h100_06_strata_d,MR,C
b01_h100_07_strata_a,M,C
b01_h100_07_strata_b,M,C
b01_h100_07_strata_c,M,C
b01_h100_07_strata_d,MR,C
b01_h100_08_strata_a,M,C
b01_h100_08_strata_b,M,C
b01_h100_08_strata_c,Mh,C
b01_h100_08_strata_d,MR,C
b01_h100_09_strata_a,M,C
b01_h100_09_strata_b,M,C
b01_h100_09_strata_c,M,C
b01_h100_09_strata_d,MR,C
b01_h100_10_strata_a,M,C
b01_h100_10_strata_b,M,C
b01_h100_10_strata_c,M,C
b01_h100_10_strata_d,MR,C
b01_h100_11_strata_a,M,C
b01_h100_11_strata_b,M,C
b01_h100_11_strata_c,M,C
b01_h100_11_strata_d,MR,C
b01_h100_12_strata_a,M,C
b01_h100_12_strata_b,M,C
b01_h100_12_strata_c,M,C
b01_h100_12_strata_d,MR,C
b01_h100_13_strata_a,M,C
b01_h100_13_strata_b,M,C
b01_h100_13_strata_c,M,C
b01_h100_13_strata_d,MR,C
b01_h100_14_strata_a,M,C
b01_h100_14_strata_b,M,C
b01_h100_14_strata_c,M,C
b01_h100_14_strata_d,MR,C
b01_h100_15_strata_a,M,C
b01_h100_15_strata_b,M,C
b01_h100_15_strata_c,M,C
b01_h100_15_strata_d,MR,C
b01_h100_16_strata_a,M,C
b01_h100_16_strata_b,M,C
b01_h100_16_strata_c,M,C
b01_h100_16_strata_d,M,C
b01_h100_17_strata_a,M,C
b01_h100_17_strata_b,M,C
b01_h100_17_strata_c,M,C
b01_h100_17_strata_d,M,C
b01_h100_18_strata_a,M,C
b01_h100_18_strata_b,M,C
b01_h100_18_strata_c,M,C
b01_h100_18_strata_d,M,C
b01_h100_19_strata_a,M,C
b01_h100_19_strata_b,M,C
b01_h100_19_strata_c,MR,C
b01_h100_19_strata_d,MR,C
b01_h101_01_strata_a,M,C
b01_h101_01_strata_b,M,C
b01_h101_01_strata_c,M,C
b01_h101_01_strata_d,M,C
b01_h101_02_strata_a,M,C
b01_h101_02_strata_b,M,C
b01_h101_02_strata_c,M,C
b01_h101_02_strata_d,MR,C
b01_h101_03_strata_a,M,C
b01_h101_03_strata_b,M,C
b01_h101_03_strata_c,M,C
b01_h101_03_strata_d,MR,C
b01_h101_04_strata_a,M,C
b01_h101_04_strata_b,M,C
b01_h101_04_strata_c,M,C
b01_h101_04_strata_d,MR,C
b01_h101_05_strata_a,M,C
b01_h101_05_strata_b,M,C
b01_h101_05_strata_c,M,C
b01_h101_05_strata_d,MR,C
b01_h101_06_strata_a,M,C
b01_h101_06_strata_b,M,C
b01_h101_06_strata_c,M,C
b01_h101_06_strata_d,MR,C
b01_h101_07_strata_a,M,C
b01_h101_07_strata_b,M,C
b01_h101_07_strata_c,M,C
b01_h101_07_strata_d,MR,C
b01_h101_08_strata_a,M,C
b01_h101_08_strata_b,M,C
b01_h101_08_strata_c,M,C
b01_h101_08_strata_d,M,C
b01_h101_09_strata_a,M,C
b01_h101_09_strata_b,M,C
b01_h101_09_strata_c,M,C
b01_h101_09_strata_d,M,C
b01_h101_10_strata_a,M,C
b01_h101_10_strata_b,M,C
b01_h101_10_strata_c,M,C
b01_h101_10_strata_d,M,C
b01_h101_11_strata_a,M,C
b01_h101_11_strata_b,M,C
b01_h101_11_strata_c,MR,C
b01_h101_11_strata_d,MR,C
b01_h102_01_strata_a,M,C
b01_h102_01_strata_b,M,C
b01_h102_01_strata_c,M,C
b01_h102_01_strata_d,M,C
b01_h102_02_strata_a,M,C
b01_h102_02_strata_b,M,C
b01_h102_02_strata_c,M,C
b01_h102_02_strata_d,M,C
b01_h102_03_strata_a,M,C
b01_h102_03_strata_b,M,C
b01_h102_03_strata_c,M,C
b01_h102_03_strata_d,M,C
b01_h102_04_strata_a,M,C
b01_h102_04_strata_b,M,C
b01_h102_04_strata_c,M,C
b01_h102_04_strata_d,M,C
b01_h102_05_strata_a,M,C
b01_h102_05_strata_b,M,C
b01_h102_05_strata_c,M,C
b01_h102_05_strata_d,M,C
b01_h102_06_strata_a,M,C
b01_h102_06_strata_b,M,C
b01_h102_06_strata_c,M,C
b01_h102_06_strata_d,M,C
b01_h102_07_strata_a,M,C
b01_h102_07_strata_b,M,C
b01_h102_07_strata_c,M,C
b01_h102_07_strata_d,M,C
b01_h102_08_strata_a,M,C
b01_h102_08_strata_b,M,C
b01_h102_08_strata_c,M,C
