,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word
35588,Q007579.25.3,gārêya[enemy]N,ga⸣-re-ia,gārêya,gērû,enemy,N,"['𒂵', '𒊑', '𒅀']",𒂵𒊑𒅀,⸢ga⸣-re-ia,"['damaged', 'complete', 'complete']",0.17,,Q007579,25,3
35589,Q007579.25.4,ša[who]REL,ša,ša,ša,who,REL,['𒊭'],𒊭,ša,['complete'],0.0,,Q007579,25,4
35590,Q007579.25.5,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q007579,25,5
35591,Q007579.25.6,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007579,25,6
35592,Q007579.28.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007579,28,1
35593,Q007579.28.2,ipqid[appoint]V,⸢ip⸣-qid,ipqid,paqādu,appoint,V,"['𒅁', '𒆤']",𒅁𒆤,⸢ip⸣-qid,"['damaged', 'complete']",0.25,,Q007579,28,2
35594,Q007579.28.3,u,⸢na⸣-[...],,,,u,"['𒈾', 'x']",𒈾x,⸢na⸣-[x],"['damaged', 'missing']",0.75,,Q007579,28,3
35595,Q007579.29.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007579,29,1
35596,Q007579.29.2,ušēšibšu[make sit]V,⸢u₂⸣-še-šib-šu₂,ušēšibšu,wašābu,make sit,V,"['𒌑', '𒊺', '𒈨', '𒋙']",𒌑𒊺𒈨𒋙,⸢u₂⸣-še-šib-šu₂,"['damaged', 'complete', 'complete', 'complete']",0.12,,Q007579,29,2
35597,Q007579.29.3,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007579,29,3
35598,Q007579.30.1,u,[...,,,,u,['x'],x,[x],['missing'],1.0,,Q007579,30,1
35599,Q007579.30.2,"Ummanigaš[Humban-nikas II, king of Elam]RN",{m]}⸢um-man⸣-[i-gaš,Ummanigaš,Ummanigaš,"Humban-nikas II, king of Elam",RN,"['𒁹', '𒌝', '𒎙', '𒄿', '𒁉']",𒁹𒌝𒎙𒄿𒁉,{[m]}⸢um-man⸣-[i-gaš],"['missing', 'damaged', 'damaged', 'missing', 'missing']",0.8,RN,Q007579,30,2
35600,Q007579.30.3,u,...],,,,u,['x'],x,[x],['missing'],1.0,,Q007579,30,3
35601,Q007579.31.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007579,31,1
35602,Q007579.31.2,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q007579,31,2
35603,Q007579.31.3,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007579,31,3
